id,name,type,fixed_cashflow,processing_cashflow_per_unit,processing_capacity,latitude,longitude,altitude,location,open,geoId
dz_ok,Oklahoma Demand Zone (US),dz,0,200,10000,35.013,-97.098,0,loc_ok,True,OK
dz_or,Oregon Demand Zone (US),dz,0,200,10000,43.813,-120.559,0,loc_or,True,OR
dz_pa,Pennsylvania Demand Zone (US),dz,0,200,10000,41.202,-77.198,0,loc_pa,True,PA
dz_ri,Rhode Island Demand Zone (US),dz,0,200,10000,41.574,-71.471,0,loc_ri,True,RI
dz_sc,South Carolina Demand Zone (US),dz,0,200,10000,33.837,-81.173,0,loc_sc,True,SC
dz_sd,South Dakota Demand Zone (US),dz,0,200,10000,43.966,-99.91,0,loc_sd,True,SD
dz_tn,Tennessee Demand Zone (US),dz,0,200,10000,35.52,-86.588,0,loc_tn,True,TN
dz_tx,Texas Demand Zone (US),dz,0,200,10000,31.962,-99.903,0,loc_tx,True,TX
dz_ut,Utah Demand Zone (US),dz,0,200,10000,39.325,-111.099,0,loc_ut,True,UT
dz_va,Virginia Demand Zone (US),dz,0,200,10000,37.426,-78.649,0,loc_va,True,VA
dz_vt,Vermont Demand Zone (US),dz,0,200,10000,44.555,-72.58,0,loc_vt,True,VT
dz_wa,Washington Demand Zone (US),dz,0,200,10000,47.761,-120.75,0,loc_wa,True,WA
dz_wi,Wisconsin Demand Zone (US),dz,0,200,10000,43.778,-88.783,0,loc_wi,True,WI
dz_wv,West Virginia Demand Zone (US),dz,0,200,10000,38.596,-80.46,0,loc_wv,True,WV
dz_wy,Wyoming Demand Zone (US),dz,0,200,10000,43.081,-107.294,0,loc_wy,True,WY
dc_dallas,Dallas DC (US),dc,0,-2.24,180000,32.295,-96.508,0,loc_tx,True,
dc_san_bernandino,San Bernandino DC (US),dc,0,-1.7,178000,34.098,-117.222,0,loc_ca,True,
dc_columbus,Columbus DC (US),dc,0,-2.6,179000,39.955,-82.996,0,loc_oh,True,
dc_atlanta,Atlanta DC (US),dc,0,-1.66,198000,33.755,-84.391,0,loc_ga,True,
dc_portland,Portland  DC (US),dc,0,-1.32,88000,45.512,-122.659,0,loc_or,True,
dc_savannah,Savannah DC (US),dc,0,-1.42,152000,32.196,-81.685,0,loc_ga,True,
dc_indianapolis,Indianapolis DC (US),dc,0,-1.57,54000,39.772,-86.153,0,loc_in,True,
dc_chicago,Chicago DC (US),dc,0,-1.67,58000,41.506,-88.071,0,loc_il,True,
dc_nashville,Nashville DC (US),dc,0,-1.35,163000,36.161,-86.79,0,loc_tn,True,
dc_minneapolis,Minneapolis DC (US),dc,0,-1.7,167000,44.982,-93.268,0,loc_mn,True,
dc_boise,Boise DC (US),dc,0,-1.08,144000,43.604,-116.2,0,loc_id,True,
dc_albuquerque,Albuquerque DC (US),dc,0,-2.55,142000,35.085,-106.642,0,loc_nm,True,
dc_mobile,Mobile DC (US),dc,0,-1.62,180000,30.689,-88.05,0,loc_al,True,
dc_seattle,Seattle DC (US),dc,0,-2.69,150000,47.603,-122.326,0,loc_wa,True,
dc_phoenix,Phoenix DC (US),dc,0,-1.76,141000,33.45,-112.09,0,loc_az,True,
dc_jacksonville,Jacksonville DC (US),dc,0,-2.27,192000,30.324,-81.661,0,loc_fl,True,
dc_orlando,Orlando DC (US),dc,0,-1.22,131000,28.56,-81.378,0,loc_fl,True,
dc_albany,Albany DC (US),dc,0,-2.14,120000,42.673,-73.809,0,loc_ny,True,
dc_pittsburgh,Pittsburgh DC (US),dc,0,-1.79,53000,40.435,-79.993,0,loc_pa,True,
dc_charleston,Charleston DC (US),dc,0,-2.12,171000,32.801,-79.933,0,loc_sc,True,
dc_houston,Houston DC (US),dc,0,-1.95,99000,29.76,-94.962,0,loc_tx,True,
dc_denver,Denver DC (US),dc,0,-2.91,187000,39.734,-104.983,0,loc_co,True,
dc_louisville,Louisville DC (US),dc,0,-2.44,160000,38.301,-85.833,0,loc_ky,True,
dc_lansing,Lansing DC (US),dc,0,-2.21,91000,42.722,-84.566,0,loc_mi,True,
dc_las_vegas,Las Vegas DC (US),dc,0,-2.71,153000,36.173,-115.146,0,loc_nv,True,
airport_los_angeles,Los Angeles Airport (US),airport,0,-4.48,999999999,33.945,-118.396,0,loc_los_angeles,True,
airport_atlanta,Atlanta Airport (US),airport,0,-3.15,999999999,33.642,-84.428,0,loc_atlanta,True,
airport_chicago,Chicago Airport (US),airport,0,-4.3,999999999,41.988,-87.915,0,loc_chicago,True,
airport_new_york,New York Airport (US),airport,0,-4.53,999999999,40.621,-73.797,0,loc_new_york,True,
airport_miami,Miami Airport (US),airport,0,-4.23,999999999,25.813,-80.293,0,loc_miami,True,
port_long_beach,Port of Long Beach (US),port,0,-0.15,999999999,33.766,-118.225,0,loc_long_beach,True,
port_los_angeles,Port of Los Angeles (US),port,0,-0.14,999999999,33.72,-118.305,0,loc_los_angeles,True,
port_tacoma,Port of Tacoma (US),port,0,-0.39,999999999,47.279,-122.393,0,loc_tacoma,True,
port_vancouver,Port of Vancouver (CA),port,0,-0.19,999999999,49.343,-122.961,0,loc_vancouver,True,
port_houston,Port of Houston (US),port,0,-0.1,999999999,29.627,-95.013,0,loc_houston,True,
port_savannah,Port of Savannah (US),port,0,-0.45,999999999,32.136,-81.129,0,loc_savannah,True,
port_norfolk,Port of Norfolk (US),port,0,-0.14,999999999,36.959,-76.346,0,loc_norfolk,True,
port_charleston,Port of Charleston (US),port,0,-0.45,999999999,32.838,-79.876,0,loc_charleston,True,
port_new_york,Port of New York (US),port,0,-0.26,999999999,40.755,-74,0,loc_new_york,True,
port_new_jersey,Port of New Jersey (US),port,0,-0.39,999999999,40.666,-73.998,0,loc_new_jersey,True,
airport_guangzhou,Guangzhou Airport (CN),airport,0,-3.13,999999999,23.169,112.931,0,loc_guangzhou,True,
airport_shanghai,Shanghai Airport (CN),airport,0,-3.28,999999999,31.134,121.804,0,loc_shanghai,True,
airport_ningbo,Ningbo Airport (CN),airport,0,-3.4,999999999,29.842,121.464,0,loc_ningbo,True,
airport_ho_chi_minh_city,Ho Chi Minh City Airport (VT),airport,0,-4.99,999999999,10.83,106.665,0,loc_ho_chi_minh_city,True,
airport_hanoi,Hanoi Airport (VT),airport,0,-5,999999999,21.239,105.801,0,loc_hanoi,True,
airport_jakarta,Jakarta Airport (ID),airport,0,-3.25,999999999,-6.268,106.9,0,loc_jakarta,True,
airport_bangkok,Bangkok Airport (TH),airport,0,-4.27,999999999,13.899,100.621,0,loc_bangkok,True,
airport_penang,Penang Airport (MY),airport,0,-4.37,999999999,5.298,100.269,0,loc_penang,True,
airport_kuala_lumpur,Kuala Lumpur Airport (MY),airport,0,-4.89,999999999,2.749,101.694,0,loc_kuala_lumpur,True,
port_yantian,Port of Yantian (CN),port,0,-0.15,999999999,22.58,114.285,0,loc_yantian,True,
port_shanghai,Port of Shanghai (CN),port,0,-0.27,999999999,31.597,121.317,0,loc_shanghai,True,
port_ningbo,Port of Ningbo (CN),port,0,-0.16,999999999,29.938,121.927,0,loc_ningbo,True,
port_vung_tau,Port of Vung Tau (VT),port,0,-0.18,999999999,10.406,107.086,0,loc_ho_chi_minh_city,True,
port_haiphong,Port of Haiphong (VT),port,0,-0.4,999999999,20.854,106.727,0,loc_haiphong,True,
port_surabaya,Port of Surabaya (ID),port,0,-0.21,999999999,-7.22,112.741,0,loc_surabaya,True,
port_jakarta,Port of Jakarta (ID),port,0,-0.2,999999999,-6.095,106.879,0,loc_jakarta,True,
port_semarang,Port of Semarang (ID),port,0,-0.42,999999999,-6.949,110.437,0,loc_semarang,True,
port_laem_chabang,Port of Laem Chabang (TH),port,0,-0.44,999999999,13.086,100.901,0,loc_laem_chabang,True,
port_penang,Port of Penang (MY),port,0,-0.15,999999999,5.412,100.356,0,loc_penang,True,
port_port_klang,Port of Port Klang (MY),port,0,-0.34,999999999,3.013,101.375,0,loc_port_klang,True,
port_tanjung_pelepas,Port of Tanjung Pelepas (MY),port,0,-0.22,999999999,1.358,103.543,0,loc_tanjung_pelepas,True,
mfg_shenzhen,Shenzhen MFG (CN),mfg,-100000,-40,35600,23.109,113.788,0,loc_shenzhen,True,
mfg_shanghai,Shanghai MFG (CN)),mfg,-80000,-43,18200,31.319,120.539,0,loc_shanghai,True,
mfg_ningbo,Ningbo MFG (CN),mfg,-65000,-50,11300,29.633,121.396,0,loc_ningbo,True,
mfg_foshan,Foshan MFG (CN),mfg,-90000,-58,45500,23.111,112.992,0,loc_foshan,True,
mfg_ho_chi_minh_city,Ho Chi Minh City MFG (VT),mfg,-87000,-49,41000,10.929,106.91,0,loc_ho_chi_minh_city,True,
mfg_haiphong,Haiphong MFG (VT),mfg,-90000,-53,25700,20.843,106.585,0,loc_haiphong,True,
mfg_nam_dinh,Nam Dinh MFG (VT),mfg,-95000,-58,45800,20.26,106.151,0,loc_nam_dinh,True,
mfg_cai_lan,Cai Lan MFG (VT),mfg,-85000,-44,48600,20.981,107.008,0,loc_cai_lan,True,
mfg_surabaya,Surabaya MFG (ID),mfg,-89000,-57,47400,-7.241,112.734,0,loc_surabaya,True,
mfg_jakarta,Jakarta MFG (ID),mfg,-93000,-40,44800,-6.171,106.82,0,loc_jakarta,True,
mfg_semarang,Semarang MFG (ID),mfg,-70000,-44,13400,-7.007,110.411,0,loc_semarang,True,
mfg_sukabumi,Sukabumi MFG (ID),mfg,-80000,-59,19300,-6.923,106.935,0,loc_jakarta,True,
mfg_laem_chabang,Laem Chabang MFG (TH),mfg,-110000,-51,49100,13.384,101.037,0,loc_laem_chabang,True,
mfg_ayutthaya,Ayutthaya MFG (TH),mfg,-90000,-47,33800,14.319,100.52,0,loc_ayutthaya,True,
mfg_chonburi,Chonburi MFG (TH),mfg,-80000,-52,24500,13.179,101.114,0,loc_chonburi,True,
mfg_bangkok,Bangkok MFG (TH),mfg,-90000,-51,39100,13.767,100.491,0,loc_bangkok,True,
mfg_penang,Penang MFG (MY),mfg,-60000,-54,27200,5.406,100.243,0,loc_penang,True,
mfg_port_klang,Port Klang MFG (MY),mfg,-70000,-54,19100,2.993,101.405,0,loc_port_klang,True,
mfg_tanjung_pelepas,Tanjung Pelepas MFG (MY),mfg,-100000,-45,18000,1.353,103.553,0,loc_tanjung_pelepas,True,
